dev-0	3 months
dev-115	yes [CON] You can appeal against a rent officer’s decision. They may pass your case to a tribunal, which can make a final decision on the rent.
dev-117	the centralised attachment of earning payments (caps) office
dev-120	yes [CON] unpaid maintenance payments [CON] county court judgment (CCJ) [CON] The person you owe money is called a ‘creditor’. [CON] You and your employer can be fined 
dev-121	the centralised attachment of earning payments (caps) office
dev-126	confirm to your supplier in writing that you meet these conditions
dev-127	the office of the immigration services commissioner (oisc) adviser finder
dev-129	yes [CON] under State Pension age living in the UK or a country that pays bereavement benefits
dev-130	claim within 3 months of your partner’s death to get the full amount
dev-138	yes [CON] Your limited company usually pays Corporation Tax on the profit (‘chargeable gain’) from selling or disposing of an asset.
dev-141	yes [CON] Your husband, wife or civil partner died in the last 21 months. You must claim within 3 months of your partner’s death to get the full amount. You can claim up to 21 months after their death but you’
dev-142	£3,500 [SEP] £350 [SEP] £100
dev-143	a funeral earps payment [SEP] other help to pay for the funeral
dev-144	yes [CON] you get certain benefits or tax credits [CON] you meet the rules on your relationship with the deceased [CON] you’re arranging a funeral in the UK, the European Economic Area (EEA) or Switzerland
dev-145	yes [SEP] no [CON] You get certain benefits or tax credits [CON] You meet the rules on your relationship with the deceased [CON] You might also be eligible if you’re getting a Support for Mortgage Interest
dev-147	yes [CON] Your limited company usually pays Corporation Tax on the profit (‘chargeable gain’) from selling or disposing of an asset.
dev-148	yes [CON] a business expense for your company [CON] personal income for you
dev-149	report the interest on a personal self assessment tax return
dev-150	your local council
dev-154	you can appeal directly to the awarding organisation if you’re a private student, for example, if you were home schooled or are a mature student.
dev-155	you cannot make an appeal yourself unless you’re a private candidate, for example you were home schooled.
dev-158	ask the senior courts costs office to make a ‘detailed assessment’ of your bill
dev-159	£45 [SEP] pay your own costs and the other party’s reasonable costs of the detailed assessment
dev-160	it’s roadworthy [SEP] it’s comfortable and clean [SEP] the taximeter works properly [SEP] the doors are safe and secure
dev-161	have no more than 8 passenger seats [SEP] not look like a licensed taxi [SEP] only display advertising that complies with TfL guidelines [SEP] display licence discs
dev-162	yes [CON] tax relief on income, gains and profits from some activities [CON] Gift Aid repayments on donations [CON] business rates relief
dev-170	tax relief on income, gains and profits from some activities [SEP] gift aid repayments on donations [SEP] business rates relief
dev-171	set out how you meet the eligibility criteria for registering as a CASC
dev-172	yes [CON] You can get help with the cost of term-time accommodation from the Residential Bursary Fund (RBF).
dev-173	3 years
dev-174	ask the senior courts costs office
dev-176	vehicle taxes and the registration fee
dev-177	your local council [SEP] your local council for local roads [SEP] highways england [SEP] your local council for local roads [SEP] your local council for local roads [SEP] your local
dev-178	yes [CON] noise vibration smell fumes smoke artificial lighting [CON] solid or liquid discharge on to your property
dev-179	2 working days after you apply [SEP] you’re a British national [SEP] you’re outside the UK [SEP] your passport has been lost, stolen, damaged, is full, has recently expired or is
dev-180	a maximum of 5 countries
dev-181	the visa application centre where you applied
dev-182	fill in the change of circumstances form and send it to the address on the form
dev-183	you get a criminal conviction you separate from your partner any of your children stop living permanently with you
dev-184	apply for an emergency travel document
dev-185	£100
dev-186	your local council for local roads [SEP] highways england
dev-187	yes [CON] noise vibration smell fumes smoke artificial lighting [CON] noise or disturbance from the use of a new or altered road
dev-189	at least 4 weeks
dev-190	through your local council
dev-191	several months
dev-193	yes [CON] you did business with them [CON] you worked for them [CON] they owed you money when they were dissolved [CON] you’re responsible for their employee pension fund [CON] you have a shared
dev-196	9 months and 1 day
dev-197	by cash or cheque
dev-201	try to come to an agreement with the local planning authority (lpa) by adjusting your plans [SEP] try to come to an agreement with the local planning authority (lpa) by adjusting your plans
dev-203	it should be updated within a few days of HMRC receiving the payment
dev-205	yes [CON] You must register for VAT if your VAT taxable turnover goes over £85,000 (the ‘threshold’) or you know that it will.
dev-206	xi
dev-207	4 years [SEP] 6 months [SEP] 6 months
dev-209	when you buy the goods or to the delivery company before you receive them
dev-211	on any payslip that hm revenue and customs (hmrc) sent you through your company’s hmrc online account - choose ‘View account’ then ‘Accounting period’
dev-212	13 weeks
dev-213	yes [SEP] no [CON] If your project needs planning permission and you do the work without getting it, you can be served an ‘enforcement notice’ ordering you to undo all the changes you have made.
dev-217	yes [CON] You must register for VAT if your VAT taxable turnover goes over £85,000 in the next 30-day period [SEP] no [CON] You must register for VAT if: [CON] you expect your
dev-218	directly to you
dev-221	yes [CON] You passed your driving test and full moped test last year. [CON] You passed your theory test and full moped test last year. [CON] You passed your car driving test and then completed a compulsory basic
dev-222	follow safety regulations [SEP] provide a smoke alarm on each storey and a carbon monoxide alarm in any room with a solid fuel burning appliance (for example a coal fire or wood burning stove) [SEP
dev-223	yes [SEP] no [CON] Your landlord must not discriminate against you, for example because of your nationality.
dev-224	yes [CON] You must apply retrospectively for building regulations approval. You may also need planning permission.
dev-225	the general binding rules [SEP] make sure it has a minimum capacity of 18,000 litres per 2 users (plus another 6,800 litres per each extra user)
dev-226	citizens advice
dev-227	your landlord
dev-228	the office of the immigration services commissioner (oisc) adviser finder
dev-229	download and fill in the complaints form
dev-231	yes [SEP] no [CON] you cannot get your money back if an adviser is not regulated.
dev-232	a bank in the country you’re living in a bank or building society in the UK
dev-233	the european economic area (EEA) gibraltar [SEP] gibraltar [SEP] gibraltar [SEP] Switzerland [SEP] countries that have a social security agreement with the UK (but you cannot
dev-234	a bank in the country you’re living in a bank or building society in the UK
dev-239	paid time off to go to ‘antenatal care’
dev-240	the central arbitration committee (cac)
dev-242	a: colleague trade union representative [SEP] a family member or citizens advice bureau worker [SEP] a manager who has not been involved in the process should handle the appeal
dev-243	the acas guide on mediation
dev-246	show who you are [SEP] show whether you have permission to work [SEP] get health or education services
dev-247	6 months
dev-248	a: colleague trade union representative
dev-249	yes [CON] You have the right to be accompanied during any appeal meetings. If possible, a manager who has not been involved in the process should handle the appeal.
dev-251	yes [CON] You must have left your country and be unable to go back because you fear persecution.
dev-252	you may be sent to a safe country that will consider your asylum claim
dev-256	acas
dev-259	at least 15 people
dev-261	at least 15 weeks
dev-262	valid uk passport details in your application
dev-263	in 3 instalments of 33%, 33% and 34% each year
dev-264	undergraduate funding
dev-265	valid uk passport details in your application
dev-266	£11,222
dev-269	£11,222
dev-270	direct payments [SEP] allowing you to buy in and arrange help yourself instead of getting it directly from social services [SEP] disabled facilities grant [SEP] pay for the costs of home adaptations
dev-271	pay before any deductions (‘gross’ wages) deductions like tax and national insurance [SEP] pay after deductions (‘net’ wages) the number of hours worked, if the pay varies depending on time
dev-272	try to come to an agreement with the local planning authority (lpa) by adjusting your plans
dev-273	4 years
dev-274	6 months
dev-276	your local council
dev-277	your local council
dev-278	follow safety regulations [SEP] provide a smoke alarm on each storey and a carbon monoxide alarm in any room with a solid fuel burning appliance (for example a coal fire or wood burning stove) [SEP
dev-279	get planning permission and building regulations approval
dev-282	you may be sent to a safe country that will consider your asylum claim
dev-284	a family member or citizens advice bureau worker
